new entry "Target_ThornWhip"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Transmutation"
data "TargetRadius" "9"
data "SpellRoll" "Attack(AttackType.MeleeSpellAttack);TemporaryHP()"
data "SpellSuccess" ""
data "TargetConditions" "not Self() and (Item() or Character() or Dead())"
data "Icon" "Spell_Transmutation_ThornWhip"
// Eldritch Whip
data "DisplayName" ""
// Pulls .
data "Description" ""
data "TooltipDamageList" "DealDamage();"
data "TooltipAttackSave" "MeleeSpellAttack"
data "TooltipPermanentWarnings" "c211ed6a-1f57-4488-be1c-6bd44be5a1c6"
data "CastSound" "Spell_Cast_Damage_ThornWhip_L0"
data "TargetSound" "Spell_Impact_Damage_ThornWhip_L0"
data "VocalComponentSound" "Vocal_Component_DamagePiercingWhip"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;70a28457-dba7-46f7-b03c-ceb3b9e12bad,,;68868848-6341-448a-97e3-94aa43ad5faf,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Damage"
data "SpellFlags" "IsSpell;HasSomaticComponent"
data "MaximumTargets" "1"
data "PrepareEffect" "613e61ed-610d-4380-89f4-6c977a85b4df"
data "CastEffect" "f9eb379f-108c-443d-bf29-886774d0fb63"
data "TargetEffect" "037dc8e8-15e0-439f-ae4d-ad6a93e85cfd"
data "BeamEffect" "32b12e6c-7b91-4dab-aeb6-061578dbdf51"
data "DamageType" "Piercing"
